Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 16 2018,8:00p,Philadelphia 76ers,87,Boston Celtics,105,Box Score,,18624,TD Garden,
Tue Oct 16 2018,10:30p,Oklahoma City Thunder,100,Golden State Warriors,108,Box Score,,19596,Oracle Arena,
Wed Oct 17 2018,7:00p,Milwaukee Bucks,113,Charlotte Hornets,112,Box Score,,17889,Spectrum Center,
Wed Oct 17 2018,7:00p,Brooklyn Nets,100,Detroit Pistons,103,Box Score,,20332,Little Caesars Arena,
Wed Oct 17 2018,7:00p,Memphis Grizzlies,83,Indiana Pacers,111,Box Score,,17923,Bankers Life Fieldhouse,
Wed Oct 17 2018,7:00p,Miami Heat,101,Orlando Magic,104,Box Score,,19191,Amway Center,
Wed Oct 17 2018,7:30p,Atlanta Hawks,107,New York Knicks,126,Box Score,,18249,Madison Square Garden (IV),
Wed Oct 17 2018,7:30p,Cleveland Cavaliers,104,Toronto Raptors,116,Box Score,,19915,Scotiabank Arena,
Wed Oct 17 2018,8:00p,New Orleans Pelicans,131,Houston Rockets,112,Box Score,,18055,Toyota Center,
Wed Oct 17 2018,8:30p,Minnesota Timberwolves,108,San Antonio Spurs,112,Box Score,,18354,AT&T Center,
Wed Oct 17 2018,10:00p,Utah Jazz,123,Sacramento Kings,117,Box Score,,17583,Golden 1 Center,
Wed Oct 17 2018,10:30p,Denver Nuggets,107,Los Angeles Clippers,98,Box Score,,19068,STAPLES Center,
Wed Oct 17 2018,10:30p,Dallas Mavericks,100,Phoenix Suns,121,Box Score,,18055,Talking Stick Resort Arena,
Thu Oct 18 2018,8:00p,Chicago Bulls,108,Philadelphia 76ers,127,Box Score,,20302,Wells Fargo Center,
Thu Oct 18 2018,8:00p,Miami Heat,113,Washington Wizards,112,Box Score,,20409,Capital One Arena,
Thu Oct 18 2018,10:30p,Los Angeles Lakers,119,Portland Trail Blazers,128,Box Score,,19996,Moda Center,
Fri Oct 19 2018,7:00p,Charlotte Hornets,120,Orlando Magic,88,Box Score,,17668,Amway Center,
Fri Oct 19 2018,7:30p,New York Knicks,105,Brooklyn Nets,107,Box Score,,17732,Barclays Center,
Fri Oct 19 2018,8:00p,Atlanta Hawks,117,Memphis Grizzlies,131,Box Score,,17019,FedEx Forum,
Fri Oct 19 2018,8:00p,Cleveland Cavaliers,123,Minnesota Timberwolves,131,Box Score,,18978,Target Center,
Fri Oct 19 2018,8:00p,Sacramento Kings,129,New Orleans Pelicans,149,Box Score,,18337,Smoothie King Center,
Fri Oct 19 2018,8:00p,Boston Celtics,101,Toronto Raptors,113,Box Score,,19800,Scotiabank Arena,
Fri Oct 19 2018,8:30p,Indiana Pacers,101,Milwaukee Bucks,118,Box Score,,17341,Fiserv Forum,
Fri Oct 19 2018,10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108,Box Score,,14816,STAPLES Center,
Fri Oct 19 2018,10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,18306,Vivint Smart Home Arena,
Sat Oct 20 2018,7:00p,Brooklyn Nets,112,Indiana Pacers,132,Box Score,,17007,Bankers Life Fieldhouse,
Sat Oct 20 2018,7:00p,Toronto Raptors,117,Washington Wizards,113,Box Score,,16185,Capital One Arena,
Sat Oct 20 2018,7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,19427,Madison Square Garden (IV),
Sat Oct 20 2018,7:30p,Orlando Magic,115,Philadelphia 76ers,116,Box Score,,20300,Wells Fargo Center,
Sat Oct 20 2018,8:00p,Detroit Pistons,118,Chicago Bulls,116,Box Score,,21289,United Center,
Sat Oct 20 2018,8:00p,Charlotte Hornets,113,Miami Heat,112,Box Score,,19600,AmericanAirlines Arena,
Sat Oct 20 2018,8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140,Box Score,,20205,American Airlines Center,
Sat Oct 20 2018,9:00p,Phoenix Suns,91,Denver Nuggets,119,Box Score,,19592,Pepsi Center,
Sat Oct 20 2018,10:00p,San Antonio Spurs,108,Portland Trail Blazers,121,Box Score,,19461,Moda Center,
Sat Oct 20 2018,10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,18997,STAPLES Center,
Sun Oct 21 2018,6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111,Box Score,,19432,Quicken Loans Arena,
Sun Oct 21 2018,7:00p,Sacramento Kings,131,Oklahoma City Thunder,120,Box Score,,18203,Chesapeake Energy Arena,
Sun Oct 21 2018,8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,19520,Pepsi Center,
Sun Oct 21 2018,9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,16149,STAPLES Center,
Mon Oct 22 2018,7:30p,Orlando Magic,93,Boston Celtics,90,Box Score,,18624,TD Garden,
Mon Oct 22 2018,7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,19800,Scotiabank Arena,
Mon Oct 22 2018,8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,16228,Fiserv Forum,
Mon Oct 22 2018,8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,Box Score,,10371,Target Center,
Mon Oct 22 2018,8:30p,Chicago Bulls,109,Dallas Mavericks,115,Box Score,,19291,American Airlines Center,
Mon Oct 22 2018,9:00p,Memphis Grizzlies,92,Utah Jazz,84,Box Score,,18306,Vivint Smart Home Arena,
Mon Oct 22 2018,10:00p,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,19187,Moda Center,
Mon Oct 22 2018,10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,19596,Oracle Arena,
Mon Oct 22 2018,10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,18997,STAPLES Center,
Tue Oct 23 2018,7:00p,Philadelphia 76ers,132,Detroit Pistons,133,Box Score,OT,14418,Little Caesars Arena,
Tue Oct 23 2018,8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,Box Score,,14625,Smoothie King Center,
Tue Oct 23 2018,9:00p,Sacramento Kings,112,Denver Nuggets,126,Box Score,,13214,Pepsi Center,
Wed Oct 24 2018,7:00p,Dallas Mavericks,104,Atlanta Hawks,111,Box Score,,16705,State Farm Arena,
Wed Oct 24 2018,7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86,Box Score,,19432,Quicken Loans Arena,
Wed Oct 24 2018,7:30p,New York Knicks,87,Miami Heat,110,Box Score,,19600,AmericanAirlines Arena,
Wed Oct 24 2018,7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,Box Score,,19800,Scotiabank Arena,
Wed Oct 24 2018,8:00p,Charlotte Hornets,110,Chicago Bulls,112,Box Score,,19170,United Center,
Wed Oct 24 2018,8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,18055,Toyota Center,
Wed Oct 24 2018,8:30p,Indiana Pacers,116,San Antonio Spurs,96,Box Score,,18354,AT&T Center,
Wed Oct 24 2018,9:30p,Philadelphia 76ers,108,Milwaukee Bucks,123,Box Score,,17341,Fiserv Forum,
Wed Oct 24 2018,10:00p,Los Angeles Lakers,131,Phoenix Suns,113,Box Score,,18055,Talking Stick Resort Arena,
Wed Oct 24 2018,10:00p,Memphis Grizzlies,92,Sacramento Kings,97,Box Score,,14198,Golden 1 Center,
