Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 25 2016,7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,Quicken Loans Arena,
Tue Oct 25 2016,10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,Moda Center,
Tue Oct 25 2016,10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,Oracle Arena,
Wed Oct 26 2016,7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,Bankers Life Fieldhouse,
Wed Oct 26 2016,7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,19298,Amway Center,
Wed Oct 26 2016,7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,Air Canada Centre,
Wed Oct 26 2016,7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,TD Garden,
Wed Oct 26 2016,8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,BMO Harris Bradley Center,
Wed Oct 26 2016,8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,Smoothie King Center,
Wed Oct 26 2016,8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,FedEx Forum,
Wed Oct 26 2016,8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,Wells Fargo Center,
Wed Oct 26 2016,10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,Talking Stick Resort Arena,
Wed Oct 26 2016,10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,STAPLES Center,
Thu Oct 27 2016,7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,Philips Arena,
Thu Oct 27 2016,8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,United Center,
Thu Oct 27 2016,10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,Moda Center,
Thu Oct 27 2016,10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,Golden 1 Center,
Fri Oct 28 2016,7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,Air Canada Centre,
