Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 17 2017,8:01p,Boston Celtics,99,Cleveland Cavaliers,102,Box Score,,20562,Quicken Loans Arena,
Tue Oct 17 2017,10:30p,Houston Rockets,122,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Wed Oct 18 2017,7:00p,Charlotte Hornets,90,Detroit Pistons,102,Box Score,,20491,Little Caesars Arena,
Wed Oct 18 2017,7:00p,Brooklyn Nets,131,Indiana Pacers,140,Box Score,,15008,Bankers Life Fieldhouse,
Wed Oct 18 2017,7:00p,Miami Heat,109,Orlando Magic,116,Box Score,,18846,Amway Center,
Wed Oct 18 2017,7:00p,Philadelphia 76ers,115,Washington Wizards,120,Box Score,,20356,Capital One Arena,
Wed Oct 18 2017,7:30p,Milwaukee Bucks,108,Boston Celtics,100,Box Score,,18624,TD Garden,
Wed Oct 18 2017,8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,Box Score,,17794,FedEx Forum,
Wed Oct 18 2017,8:30p,Atlanta Hawks,117,Dallas Mavericks,111,Box Score,,19709,American Airlines Center,
Wed Oct 18 2017,9:00p,Denver Nuggets,96,Utah Jazz,106,Box Score,,17588,Vivint Smart Home Arena,
Wed Oct 18 2017,9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,Box Score,,18418,AT&T Center,
Wed Oct 18 2017,10:00p,Portland Trail Blazers,124,Phoenix Suns,76,Box Score,,18055,Talking Stick Resort Arena,
Wed Oct 18 2017,10:00p,Houston Rockets,105,Sacramento Kings,100,Box Score,,17583,Golden 1 Center,
Thu Oct 19 2017,7:30p,Chicago Bulls,100,Toronto Raptors,117,Box Score,,19800,Air Canada Centre,
Thu Oct 19 2017,8:00p,New York Knicks,84,Oklahoma City Thunder,105,Box Score,,18203,Chesapeake Energy Arena,
Thu Oct 19 2017,10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,Box Score,,18997,STAPLES Center,
Fri Oct 20 2017,7:00p,Atlanta Hawks,91,Charlotte Hornets,109,Box Score,,18417,Spectrum Center,
Fri Oct 20 2017,7:00p,Portland Trail Blazers,114,Indiana Pacers,96,Box Score,,15325,Bankers Life Fieldhouse,
Fri Oct 20 2017,7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,Box Score,,18717,BMO Harris Bradley Center,
