Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Dec 22 2020,7:00p,Golden State Warriors,99,Brooklyn Nets,125,Box Score,,0,Barclays Center,
Tue Dec 22 2020,10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,Box Score,,0,STAPLES Center,
Wed Dec 23 2020,7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,Box Score,,300,Rocket Mortgage Fieldhouse,
Wed Dec 23 2020,7:00p,New York Knicks,107,Indiana Pacers,121,Box Score,,0,Bankers Life Fieldhouse,
Wed Dec 23 2020,7:00p,Miami Heat,107,Orlando Magic,113,Box Score,,3396,Amway Center,
Wed Dec 23 2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,Box Score,,0,Wells Fargo Center,
Wed Dec 23 2020,7:30p,New Orleans Pelicans,113,Toronto Raptors,99,Box Score,,3800,Amalie Arena,
Wed Dec 23 2020,7:30p,Milwaukee Bucks,121,Boston Celtics,122,Box Score,,0,TD Garden,
Wed Dec 23 2020,8:00p,Atlanta Hawks,124,Chicago Bulls,104,Box Score,,0,United Center,
Wed Dec 23 2020,8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,Box Score,,0,FedEx Forum,
Wed Dec 23 2020,8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,Box Score,,0,Target Center,
Wed Dec 23 2020,9:00p,Sacramento Kings,124,Denver Nuggets,122,Box Score,OT,0,Ball Arena,
Wed Dec 23 2020,10:00p,Utah Jazz,120,Portland Trail Blazers,100,Box Score,,0,Moda Center,
Wed Dec 23 2020,10:30p,Dallas Mavericks,102,Phoenix Suns,106,Box Score,,0,Phoenix Suns Arena,
Fri Dec 25 2020,12:00p,New Orleans Pelicans,98,Miami Heat,111,Box Score,,0,AmericanAirlines Arena,
Fri Dec 25 2020,2:30p,Golden State Warriors,99,Milwaukee Bucks,138,Box Score,,0,Fiserv Forum,
Fri Dec 25 2020,5:00p,Brooklyn Nets,123,Boston Celtics,95,Box Score,,0,TD Garden,
Fri Dec 25 2020,8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,Box Score,,0,STAPLES Center,
Fri Dec 25 2020,10:30p,Los Angeles Clippers,121,Denver Nuggets,108,Box Score,,0,Ball Arena,
Sat Dec 26 2020,5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,Box Score,,0,FedEx Forum,
Sat Dec 26 2020,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,Box Score,,0,Spectrum Center,
Sat Dec 26 2020,7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,Box Score,2OT,0,Little Caesars Arena,
Sat Dec 26 2020,7:00p,Orlando Magic,130,Washington Wizards,120,Box Score,,0,Capital One Arena,
